LocalAuthority,Category,Type,LicenceArea,LCT_Connections,True Export,Predicted Export,Residual
Sutton London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),7,23,26.036242,-3.0362415313720703
Brentwood District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.00960803,-0.009608030319213867
Brent London Boro,Generation,Solar PV,London Power Networks (LPN),9,21,29.537083,-8.53708267211914
Castle Point District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,19,21.144041,-2.144041061401367
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),12,38,41.959976,-3.9599761962890625
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,26,27.13878,-1.1387805938720703
Adur District,Generation,Solar PV,South Eastern Power Networks (SPN),8,26,29.56631,-3.5663108825683594
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),13,48,44.628124,3.371875762939453
Redbridge London Boro,Generation,Solar PV,London Power Networks (LPN),6,26,22.375008,3.6249923706054688
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,25,23.439426,1.5605735778808594
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),10,31,36.558002,-5.558002471923828
Breckland District,Demand,Heat Pump,Eastern Power Networks (EPN),7,0,1.8115635,-1.811563491821289
Adur District,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Croydon London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),6,23,21.303797,1.6962032318115234
Dartford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,22,22.161959,-0.1619586944580078
Uttlesford District,Generation,Solar PV,Eastern Power Networks (EPN),34,122,93.720345,28.27965545654297
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),20,55,68.05181,-13.051811218261719
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),14,43,49.97817,-6.978168487548828
Ashford District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Sevenoaks District,Generation,Solar PV,South Eastern Power Networks (SPN),10,48,39.68887,8.31113052368164
Epsom and Ewell District (B),Generation + Demand,Battery Storage,South Eastern Power Networks (SPN),7,60,35.589264,24.410736083984375
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),13,47,45.44379,1.5562095642089844
Kingston upon Thames London Boro,Generation,Solar PV,London Power Networks (LPN),6,66,22.375008,43.62499237060547
Three Rivers District,Generation,Solar PV,Eastern Power Networks (EPN),11,36,39.113667,-3.113666534423828
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,28,32.977615,-4.9776153564453125
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),14,46,55.717384,-9.717384338378906
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,24,25.191427,-1.191427230834961
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,20,22.795174,-2.7951736450195312
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,29,32.553364,-3.553363800048828
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),7,17,27.08836,-10.088359832763672
East Cambridgeshire District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),6,15,9.877504,5.122495651245117
Bexley London Boro,Generation,Solar PV,London Power Networks (LPN),8,36,29.068392,6.931608200073242
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),8,24,28.925598,-4.92559814453125
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,22,31.39803,-9.398029327392578
Harlow District,Generation,Solar PV,Eastern Power Networks (EPN),9,24,30.350208,-6.350208282470703
King's Lynn and West Norfolk District (B),Demand,Heat Pump,Eastern Power Networks (EPN),18,0,1.4946252,-1.494625210762024
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,27.693903,-4.693902969360352
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),6,23,22.886513,0.11348724365234375
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,16,23.607721,-7.607721328735352
Brent London Boro,Generation,Solar PV,London Power Networks (LPN),8,22,28.861612,-6.861612319946289
Waltham Forest London Boro,Generation,Solar PV,Eastern Power Networks (EPN),16,42,39.992188,2.0078125
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),10,44,36.558002,7.441997528076172
St. Albans District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),16,0,0.84647274,-0.8464727401733398
Bexley London Boro,Generation,Solar PV,London Power Networks (LPN),7,20,25.616076,-5.61607551574707
Bedford (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.00960803,-0.009608030319213867
Barnet London Boro,Generation,Solar PV,Eastern Power Networks (EPN),7,25,24.699095,0.3009052276611328
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,53,37.27729,15.722709655761719
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),8,26,29.56631,-3.5663108825683594
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),12,63,41.699818,21.300182342529297
North Norfolk District,Demand,Heat Pump,Eastern Power Networks (EPN),9,0,0.66308576,-0.6630857586860657
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),10,32,35.682945,-3.6829452514648438
Maldon District (B),Demand,Heat Pump,Eastern Power Networks (EPN),11,0,0.32600498,-0.3260049819946289
Elmbridge District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),14,0,0.36796445,-0.3679644465446472
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,15,22.026218,-7.026218414306641
Sevenoaks District,Generation,Solar PV,South Eastern Power Networks (SPN),6,18,23.694813,-5.694812774658203
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,21,26.036242,-5.03624153137207
Harrow London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
Merton London Boro,Generation,Solar PV,London Power Networks (LPN),6,41,22.572296,18.427703857421875
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),6,24,20.980406,3.019594192504883
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,24,26.036242,-2.0362415313720703
East Suffolk District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),10,8,15.653718,-7.653717994689941
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,26,32.258327,-6.258327484130859
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,32,36.252174,-4.252174377441406
St. Albans District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.01783961,-0.01783961057662964
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,34,32.977615,1.0223846435546875
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),8,31,29.56631,1.4336891174316406
South Cambridgeshire District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),7,5,8.334683,-3.334683418273926
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,30,32.553364,-2.553363800048828
City of Peterborough (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.18492375,-0.18492375314235687
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,18,22.125893,-4.125892639160156
Lambeth London Boro,Generation,Solar PV,London Power Networks (LPN),6,21,22.375008,-1.3750076293945312
Lambeth London Boro,Generation,Solar PV,London Power Networks (LPN),6,16,22.375008,-6.375007629394531
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),10,34,37.217125,-3.2171249389648438
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),6,19,26.354898,-7.354898452758789
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,20,22.795174,-2.7951736450195312
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,25,30.835232,-5.835231781005859
Reigate and Banstead District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,26,33.317486,-7.317485809326172
Huntingdonshire District,Demand,Heat Pump,Eastern Power Networks (EPN),6,0,0.7398191,-0.7398191094398499
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),50,150,174.18118,-24.181182861328125
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),11,39,39.832954,-0.8329544067382812
South Oxfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,22,26.585867,-4.585866928100586
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),8,31,30.291601,0.7083988189697266
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,33,30.818497,2.1815032958984375
Watford District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),16,50,56.276592,-6.276592254638672
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),9,28,32.258327,-4.258327484130859
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),8,29,29.56631,-0.5663108825683594
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,25,26.575254,-1.5752544403076172
Enfield London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.15344928,-0.15344928205013275
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),7,33,25.673445,7.326555252075195
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,20,30.818497,-10.818496704101562
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,33,35.544876,-2.5448760986328125
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),11,42,39.113667,2.886333465576172
Mole Valley District,Generation,Solar PV,South Eastern Power Networks (SPN),7,3,26.036242,-23.03624153137207
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),10,43,39.800076,3.1999244689941406
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),6,12,23.071358,-11.071357727050781
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,57,27.854815,29.145185470581055
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,29,29.948397,-0.9483966827392578
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),14,43,49.65116,-6.651161193847656
Southend-on-Sea (B),Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.44202447,-0.44202446937561035
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),18,57,67.09045,-10.090446472167969
Hertsmere District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),15,0,0.4522062,-0.45220619440078735
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,29,21.512571,7.487428665161133
Runnymede District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,29,35.682945,-6.682945251464844
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,17,23.607721,-6.607721328735352
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,24,27.854815,-3.8548145294189453
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,31,31.928768,-0.9287681579589844
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),14,52,50.97215,1.0278511047363281
Maidstone District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,22,22.795174,-0.7951736450195312
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,32,32.977615,-0.9776153564453125
Fenland District,Generation,Solar PV,Eastern Power Networks (EPN),15,55,53.3354,1.6646003723144531
Dacorum District (B),Demand,Heat Pump,Eastern Power Networks (EPN),10,0,-0.60734755,0.6073475480079651
Dover District,Generation,Solar PV,South Eastern Power Networks (SPN),7,26,25.788568,0.21143150329589844
Barking and Dagenham London Boro,Generation,Solar PV,Eastern Power Networks (EPN),8,26,27.981834,-1.9818344116210938
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),19,69,67.948555,1.0514450073242188
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,28,23.605808,4.394191741943359
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,33,32.553364,0.4466361999511719
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),8,38,29.56631,8.43368911743164
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),12,44,41.30675,2.693248748779297
West Suffolk District,Demand,Heat Pump,Eastern Power Networks (EPN),8,0,0.16980878,-0.1698087751865387
Dacorum District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,15,21.78035,-6.7803497314453125
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),7,25,24.933512,0.06648826599121094
Harrow London Boro,Generation,Solar PV,Eastern Power Networks (EPN),7,35,26.585867,8.414133071899414
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),7,19,26.036242,-7.03624153137207
Brent London Boro,Generation,Solar PV,Eastern Power Networks (EPN),8,25,29.300346,-4.300346374511719
Harrow London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),15,0,0.81888795,-0.8188879489898682
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,33,26.036242,6.96375846862793
Central Bedfordshire,Demand,Heat Pump,Eastern Power Networks (EPN),7,0,0.10667436,-0.10667435824871063
Mole Valley District,Generation,Solar PV,South Eastern Power Networks (SPN),10,37,35.682945,1.3170547485351562
Barking and Dagenham London Boro,Generation,Solar PV,London Power Networks (LPN),6,67,19.096397,47.903602600097656
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),17,54,57.942516,-3.942516326904297
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),11,42,38.238605,3.761394500732422
North Norfolk District,Demand,Heat Pump,Eastern Power Networks (EPN),8,0,0.6069041,-0.6069040894508362
Barnet London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,-0.072602615,0.07260261476039886
Tonbridge and Malling District (B),Demand,Heat Pump,South Eastern Power Networks (SPN),8,0,0.2461075,-0.24610750377178192
St. Albans District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.01783961,-0.01783961057662964
North Norfolk District,Demand,Heat Pump,Eastern Power Networks (EPN),12,0,0.545952,-0.5459520220756531
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),14,51,49.65116,1.3488388061523438
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,33,36.558002,-3.558002471923828
Dacorum District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,20,21.78035,-1.7803497314453125
Crawley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,98,26.036242,71.96375846862793
Harrow London Boro,Generation,Solar PV,Eastern Power Networks (EPN),7,25,26.585867,-1.585866928100586
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,27.13878,-4.13878059387207
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),30,104,89.6247,14.375297546386719
Havering London Boro,Generation,Solar PV,Eastern Power Networks (EPN),9,28,32.258327,-4.258327484130859
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),8,34,30.115936,3.884063720703125
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),6,18,22.886513,-4.886512756347656
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),7,25,26.585867,-1.585866928100586
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),13,44,45.664143,-1.6641426086425781
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),17,58,58.978535,-0.9785346984863281
Dartford District (B),Demand,EV Charging Point,London Power Networks (LPN),10,0,-0.051642016,0.05164201557636261
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),22,71,77.156654,-6.156654357910156
Redbridge London Boro,Demand,EV Charging Point,London Power Networks (LPN),7,0,-0.2064694,0.20646940171718597
Havering London Boro,Generation,Solar PV,Eastern Power Networks (EPN),9,31,32.258327,-1.2583274841308594
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,17,70.034325,-53.034324645996094
North Norfolk District,Demand,Heat Pump,Eastern Power Networks (EPN),6,0,0.12451109,-0.12451109290122986
Tendring District,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.15344928,-0.15344928205013275
Norwich District (B),Generation + Demand,Battery Storage,Eastern Power Networks (EPN),8,16,15.128553,0.8714466094970703
Merton London Boro,Generation,Solar PV,London Power Networks (LPN),10,27,32.62439,-5.6243896484375
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),7,25,25.29943,-0.29943084716796875
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),58,199,174.3441,24.655899047851562
Arun District,Generation,Solar PV,South Eastern Power Networks (SPN),10,37,35.682945,1.3170547485351562
Gravesham District (B),Generation,Solar PV,South Eastern Power Networks (SPN),16,99,55.638927,43.3610725402832
Tonbridge and Malling District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),10,0,0.46037996,-0.460379958152771
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),14,53,50.97215,2.027851104736328
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),44,136,145.43063,-9.430633544921875
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,20,22.712854,-2.7128543853759766
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,27,29.786375,-2.786375045776367
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),13,50,44.087036,5.9129638671875
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),8,25,28.8295,-3.829500198364258
North Hertfordshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),10,0,0.5526797,-0.552679717540741
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,29,28.954922,0.045078277587890625
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,20,23.439426,-3.4394264221191406
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,34,35.68441,-1.6844100952148438
Horsham District,Demand,EV Charging Point,South Eastern Power Networks (SPN),8,0,0.02479649,-0.024796489626169205
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),15,53,53.28036,-0.2803611755371094
City of Peterborough (B),Demand,Heat Pump,Eastern Power Networks (EPN),8,0,0.28199017,-0.2819901704788208
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,21,32.09079,-11.090789794921875
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),6,19,23.383013,-4.383012771606445
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,26,26.575254,-0.5752544403076172
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),26,77,87.25884,-10.258842468261719
Bromley London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),11,37,38.238605,-1.2386054992675781
Hertsmere District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,23,23.708399,-0.7083988189697266
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,24,21.876118,2.123882293701172
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,35,32.09079,2.909210205078125
Dartford District (B),Generation,Solar PV,London Power Networks (LPN),9,22,30.252132,-8.252132415771484
Enfield London Boro,Generation,Solar PV,Eastern Power Networks (EPN),6,13,22.886513,-9.886512756347656
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),11,31,38.866615,-7.866615295410156
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),12,33,42.501064,-9.50106430053711
South Cambridgeshire District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),7,0,8.334683,-8.334683418273926
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),15,61,53.23258,7.767421722412109
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),9,29,32.258327,-3.2583274841308594
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),9,29,32.258327,-3.2583274841308594
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),12,37,42.501064,-5.501064300537109
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,79,36.382202,42.6177978515625
Crawley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,29,29.56631,-0.5663108825683594
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),14,44,55.717384,-11.717384338378906
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,28,28.204897,-0.2048969268798828
Croydon London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),8,25,27.888126,-2.8881263732910156
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,40,22.930664,17.0693359375
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,25,27.693903,-2.6939029693603516
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),8,24,30.291601,-6.291601181030273
Stevenage District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,26,23.711319,2.2886810302734375
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),7,26,31.79063,-5.790630340576172
Waltham Forest London Boro,Generation,Solar PV,London Power Networks (LPN),29,61,77.15048,-16.150482177734375
Mole Valley District,Generation,Solar PV,South Eastern Power Networks (SPN),11,44,38.238605,5.761394500732422
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),11,45,40.37487,4.625129699707031
Buckinghamshire,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.00960803,-0.009608030319213867
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,22,29.56631,-7.566310882568359
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),15,56,55.146095,0.8539047241210938
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,28.204897,-5.204896926879883
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,26,27.069666,-1.0696659088134766
Croydon London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),8,24,27.888126,-3.8881263732910156
Woking District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,32,26.013351,5.9866485595703125
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,29,49.971382,-20.97138214111328
Brentwood District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,16,22.886513,-6.886512756347656
Havering London Boro,Generation,Solar PV,Eastern Power Networks (EPN),6,18,22.886513,-4.886512756347656
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),11,36,39.113667,-3.113666534423828
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),6,18,22.886513,-4.886512756347656
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,25,29.56631,-4.566310882568359
Rochford District,Generation,Solar PV,Eastern Power Networks (EPN),14,44,70.50968,-26.509681701660156
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),10,38,36.558002,1.4419975280761719
Croydon London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),8,23,27.888126,-4.888126373291016
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),16,58,55.56815,2.4318504333496094
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),11,27,41.89343,-14.893428802490234
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),6,21,23.991488,-2.991487503051758
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),13,35,45.61636,-10.61635971069336
Barnet London Boro,Generation,Solar PV,Eastern Power Networks (EPN),7,23,24.699095,-1.6990947723388672
Lewisham London Boro,Generation,Solar PV,London Power Networks (LPN),7,18,25.616076,-7.61607551574707
North Norfolk District,Demand,Heat Pump,Eastern Power Networks (EPN),8,0,0.6069041,-0.6069040894508362
Uttlesford District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.00960803,-0.009608030319213867
Havering London Boro,Generation,Solar PV,Eastern Power Networks (EPN),9,29,32.258327,-3.2583274841308594
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,26.585867,-3.585866928100586
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),6,19,21.600077,-2.600076675415039
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,29,32.25562,-3.2556190490722656
Rother District,Generation,Solar PV,South Eastern Power Networks (SPN),11,42,37.935814,4.064186096191406
Broxbourne District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.29344958,-0.2934495806694031
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,25,31.734966,-6.734966278076172
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),14,56,51.180176,4.81982421875
Great Yarmouth District (B),Demand,Heat Pump,Eastern Power Networks (EPN),15,0,1.5877808,-1.5877808332443237
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),9,37,32.258327,4.741672515869141
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),16,46,56.276592,-10.276592254638672
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),8,25,29.56631,-4.566310882568359
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,33,29.834396,3.1656036376953125
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),6,22,27.433323,-5.433322906494141
Babergh District,Demand,Heat Pump,Eastern Power Networks (EPN),6,0,-0.037166905,0.03716690465807915
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),10,42,35.682945,6.317054748535156
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),8,27,32.627518,-5.6275177001953125
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),12,45,42.501064,2.4989356994628906
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,26.761532,-3.7615318298339844
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),6,19,23.071358,-4.071357727050781
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,27,29.948397,-2.948396682739258
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,25,33.317486,-8.317485809326172
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),8,31,29.56631,1.4336891174316406
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),7,24,26.036242,-2.0362415313720703
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),13,55,45.664692,9.335308074951172
Merton London Boro,Generation,Solar PV,London Power Networks (LPN),8,24,29.26568,-5.265680313110352
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,31,29.56631,1.4336891174316406
Kingston upon Thames London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),9,30,31.383266,-1.3832664489746094
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),16,61,55.56815,5.431850433349609
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),12,44,44.985878,-0.9858779907226562
North Norfolk District,Demand,Heat Pump,Eastern Power Networks (EPN),6,0,0.12451109,-0.12451109290122986
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,48,22.026218,25.97378158569336
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,22,23.034588,-1.0345878601074219
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,26,28.204897,-2.204896926879883
Epping Forest District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.3806075,0.3806074857711792
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,31,30.835232,0.16476821899414062
Fenland District,Generation,Solar PV,Eastern Power Networks (EPN),15,52,53.3354,-1.3353996276855469
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),8,24,28.8295,-4.829500198364258
